,spearman,spearmanp,cell_fate_correct,perturbation,index,network,p,threshold_number,pruning,somePredictionRefused
153,0.2411222184600817,9.52196478559932e-36,0.0,NR2F2,0,dense,0.001,2000,harsh,True
154,0.0,1.0,,NR3C1,0,dense,0.001,2000,harsh,True
155,0.0,1.0,,NR4A2,0,dense,0.001,2000,harsh,True
156,0.18021896694404713,1.9280348674721357e-20,0.0,NR4A3,0,dense,0.001,2000,harsh,True
157,0.0,1.0,,OLIG1,0,dense,0.001,2000,harsh,True
158,0.10207053371476034,1.8015263436141388e-07,0.0,OLIG2,0,dense,0.001,2000,harsh,True
159,0.0,1.0,,OSTF1,0,dense,0.001,2000,harsh,True
160,0.24889009726425176,4.763940423586176e-38,0.0,OTX2,0,dense,0.001,2000,harsh,False
161,0.09242957253291441,2.3174089105887666e-06,1.0,OVOL2,0,dense,0.001,2000,harsh,True
162,0.21501990757118583,1.3269111707288215e-28,0.0,PA2G4,0,dense,0.001,2000,harsh,True
163,0.0,1.0,,PATZ1,0,dense,0.001,2000,harsh,True
164,0.19077941447828353,9.314251553749997e-23,0.0,PAX2,0,dense,0.001,2000,harsh,True
165,0.25315734593140843,2.394886756849134e-39,0.0,PAX5,0,dense,0.001,2000,harsh,True
166,0.16600293958571002,1.5341179240865956e-17,0.0,PAX6,0,dense,0.001,2000,harsh,True
167,0.24694330705682985,1.829074717820237e-37,0.0,PAX8,0,dense,0.001,2000,harsh,False
168,0.0783171108441379,6.336030219950942e-05,0.0,PBX1,0,dense,0.001,2000,harsh,False
169,0.19087844747480398,8.846525987777043e-23,0.0,PITX2,0,dense,0.001,2000,harsh,True
170,0.0,1.0,,PLXNB3,0,dense,0.001,2000,harsh,True
171,0.0,1.0,,PML,0,dense,0.001,2000,harsh,True
172,0.0,1.0,,POU2AF1,0,dense,0.001,2000,harsh,True
173,0.13843551514825478,1.3056130743075754e-12,0.0,POU2F2,0,dense,0.001,2000,harsh,True
174,0.0,1.0,,POU3F2,0,dense,0.001,2000,harsh,True
175,0.2210237863721108,3.6194328505371194e-30,0.0,POU4F1,0,dense,0.001,2000,harsh,True
176,0.12203881655946888,4.1909988380748585e-10,0.0,PPARG,0,dense,0.001,2000,harsh,True
177,0.24075773447455132,1.2153150408507593e-35,0.0,PRDM1,0,dense,0.001,2000,harsh,False
178,0.0,1.0,,PTAFR,0,dense,0.001,2000,harsh,True
179,0.0,1.0,,RARG,0,dense,0.001,2000,harsh,True
180,0.0,1.0,,RASL10A,0,dense,0.001,2000,harsh,True
181,0.0,1.0,,RFX2,0,dense,0.001,2000,harsh,True
182,0.0,1.0,,RFX5,0,dense,0.001,2000,harsh,True
183,0.0,1.0,,RFXAP,0,dense,0.001,2000,harsh,True
184,0.0,1.0,,RPS6KA1,0,dense,0.001,2000,harsh,True
185,0.23604600416318944,2.7446924730525243e-34,0.0,RUNX1,0,dense,0.001,2000,harsh,True
186,0.20433731867319146,6.183633104117262e-26,0.0,RUNX3,0,dense,0.001,2000,harsh,True
187,0.0,1.0,,RUVBL2,0,dense,0.001,2000,harsh,True
188,0.06608940573857935,0.0007410462818415041,1.0,RXRA,0,dense,0.001,2000,harsh,True
189,0.13505773524626719,4.548277653871948e-12,1.0,SALL1,0,dense,0.001,2000,harsh,True
190,0.24646971410399882,2.532731437481362e-37,0.0,SALL4,0,dense,0.001,2000,harsh,True
191,0.0,1.0,,SAP30,0,dense,0.001,2000,harsh,True
192,0.0,1.0,,SETDB1,0,dense,0.001,2000,harsh,True
193,0.0,1.0,,SIM1,0,dense,0.001,2000,harsh,True
194,0.0,1.0,,SIRT3,0,dense,0.001,2000,harsh,True
195,0.0,1.0,,SIX1,0,dense,0.001,2000,harsh,True
196,0.13380075962805799,7.180208977188197e-12,0.0,SMAD1,0,dense,0.001,2000,harsh,True
197,0.0,1.0,,SMAD2,0,dense,0.001,2000,harsh,True
198,0.0,1.0,,SMAD5,0,dense,0.001,2000,harsh,True
199,0.1362293215717882,2.9604636337210562e-12,0.0,SMAD7,0,dense,0.001,2000,harsh,True
200,0.0,1.0,,SMARCA4,0,dense,0.001,2000,harsh,True
201,0.13844200402641613,1.302447777233555e-12,0.0,SNAI1,0,dense,0.001,2000,harsh,True
202,0.1845740742165814,2.222198552372703e-21,0.0,SNAI2,0,dense,0.001,2000,harsh,False
203,0.0,1.0,,SNAI3,0,dense,0.001,2000,harsh,True
204,0.0,1.0,,SNAPC1,0,dense,0.001,2000,harsh,True
